"WEAPON","","INFO","","","","PREFERENCE","","","PERKS","","","ROLE / NOTES","ANALYSIS","","SOURCE",""
"","Far Future","Sniper Rifle","Energy","Solar","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
Quickdraw
Slideshot","Opening Shot
Frenzy
Thresh","None","45 Zoom.
Double AA perks.
Thresh for super gen.","","A","Xur / Dares of Eternity Loot Pool","No"
"","Revoker","Sniper Rifle","Kinetic","Kinetic","Aggressive","Extended Barrel","Accurized","Handling","Snapshot Sights","Reversal of Fortune","None","35 Zoom.
Curated Roll.
Only weapon in-game w/ Reversal of Fortune perk.
Reversal provides a GUARANTEED 1 bullet refund after missing 2 shots (i.e. no damage dealt) after a brief period.","","A","Monument of Lost Lights","No"
"","Long Shadow","Sniper Rifle","Kinetic","Kinetic","Adaptive","ATC Rex
ATA Scout
ATD Raptor
ATB Long Range","Accurized","Handling
Stability
Range","Snapshot Sights
Firmly Planted
Hipfire Grip","Moving Target
Explosive Payload","None","Has Scopes instead of barrels.
50 Zoom, 51 Zoom, 52 Zoom, or 56 zoom.
One of the few remaining Variable Zoom snipers available in-game.
No Origin trait.","","A","Dares of Eternity Loot Pool","No"
"","Fate Cries Foul","Sniper Rifle","Energy","Void","Adaptive","Zoom 10 Point
Zoom 30 Focus","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Snapshot Sights
Firmly Planted
Hipfire Grip","Moving Target
Dragonfly","None","Has Scopes instead of barrels.
50 Zoom or 70 Zoom.
One of the few remaining Variable Zoom snipers in-game.
One zoom is VERY high, at 70 zoom, making it the highest of any in-game.
No Origin trait.","","B","Unobtainable","No"
"","Succession (Onslaught Variant)","Sniper Rifle","Kinetic","Kinetic","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Moving Target
No Distractions
Harmony","Snapshot Sights
Recombination
Vorpal Weapon","Indomitability","50 Zoom.
Funny 1 shot body shot sniper via Harmony + Recombination x7.","","B","Onslaught","No"
"","Distant Tumulus","Sniper Rifle","Energy","Solar","Rapid-Fire","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Pulse Monitor
Dragonfly","Opening Shot
Snapshot Sights
Quickdraw","None","45 Zoom.
Weak Column 1 perks.","","C","Xur / Dares of Eternity Loot Pool","No"
"","The Long Walk","Sniper Rifle","Energy","Solar","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Slideshot
Ensemble
Killing Wind","Moving Target
Snapshot Sights
Quickdraw","None","50 Zoom.
Weak Column 1 perks.","","C","Unobtainable (Previously Prophecy Dungeon)","No"
"","The Long Goodbye","Sniper Rifle","Energy","Arc","Adaptive","Fluted Barrel
Arrowhead
Corkscrew","Ricochet
High-Caliber
Armor Piercing","Handling
Stability
Range","Snapshot Sights
Rangefinder
Firmly Planted","Dragonfly","None","40 Zoom.
Mid perks.","","D","Unobtainable","No"
"","Dreaded Venture","Sniper Rifle","Kinetic","Kinetic","Aggressive","Fluted Barrel
Arrowhead
Corkscrew","Accurized
Steady","Handling
Stability
Range","Explosive Payload","Firmly Planted
Hipfire Grip","None","45 Zoom.
Mid perks.","","D","Xur / Dares of Eternity Loot Pool","No"
"","Empty Vessel","Special GL","Energy","Solar","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder
","Velocity
Handling
Blast Radius","Threat Detector
Quickdraw
Genesis","Disruption Break
Swashbuckler
Vorpal Weapon","Vanguard Determination
Field-Tested","Lightweight/Movement
Disruption Break for Team Play.
Vorpal vs. Supers","","A","Vanguard / Zavala Vendor","No"
"","Wilderflight","Special GL","Energy","Void","Double Fire","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Ambitious Assassin
Repulsor Brace
Blast Distributor","Elemental Honing
Aggregate Charge
Destabilizing Rounds","Tex Balanced Stock","Double fire. 
Bad frame due to split damage instances/shot spread.","","D","Spire of the Watcher Dungeon","No"
"","Tusk of the Boar","Special GL","Kinetic","Strand","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Slice
Slideways
Envious Assassin","Chain Reaction
Swashbuckler
Vorpal Weapon","Skulking Wolf
Field-Tested","Wave frame.
Good for swap-clean ups/multiple targets.
Slice & Skulking Wolf.
Vorpal vs. Supers","","S","Iron Banner / Saladin Vendor","No"
"","Salvager's Salvo","Special GL","Energy","Arc","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Chain Reaction
Demolitionist
Ambitious Assassin","Gear Shift
Collection Action
Vorpal Weapon","Vanguard Determination
Problem Solver","Lightweight/Movement
Neutral damage buffs allow for easier 1 shots.
Chain Reaction column 1 for extra AoE/Splash on kill.","","A","Vanguard / Pinnacle Ops / Zavala Vendor","No"
"","Lingering Dread","Special GL","Kinetic","Stasis","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Ambitious Assassin
Demolitionist
Discord","Chill Clip
Chain Reaction
Rampage","Bitterspite","Lightweight/Movement
Discord.
Chill Clip slows targets who survive impact, allowing easier clean ups.","","B","Duality Dungeon","No"
"","Psychopomp","Special GL","Energy","Arc","Area Denial","Quick Launch
Smart Drift
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Velocity
Handling
Reload Speed","Envious Assassin
Demolitionist
Blast Distributor","Gear Shift
Elemental Honing
Aggregate Charge","Heretical Behavior
Willing Vessel
","Area denial frame.
Bad for general combat, good for point control.
Neutral damage buffs allow for higher damage.","","C","Pit of Heresy Dungeon","No"
"","Lost Signal","Special GL","Kinetic","Stasis","Area Denial","Quick Launch
Smart Drift
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Velocity
Handling
Reload Speed","Quickdraw
Threat Detector
Auto-Loading Holster","Demolitionist
Vorpal Weapon
One For All","Radiolaria Transposer","Area denial frame.
Bad for general combat, good for point control.
Vorpal vs. Supers (Well Specifically)","","D","Encore Exotic Mission 
Classic Collections Modifier: ON","No"
"","VS Velocity Baton","Special GL","Energy","Void","Area Denial","Quick Launch
Smart Drift
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Velocity
Handling
Reload Speed","Dimensional Shift
Repulsor Brace
Demolitionist
Reconstruction","Elemental Honing
Frenzy
Chain Reaction
Destabilizing Rounds","Bray Legacy","Area denial frame.
Bad for general combat, good for point control.
Chain Reaction for extra AoE.
Neutral damage buffs allow for higher damage.","","C","Vesper's Host Dungeon","No"
"","Ouster Engine","Special GL","Kinetic","Stasis","Area Denial","Quick Launch
Smart Drift
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Velocity
Handling
Reload Speed","Envious Assassin
Auto-Loading Holster
Blast Distributor","Chaos Reshaped
Aggregate Charge
Chain Reaction
Vorpal Weapon","Vanguard Determination
Suros Synergy
Problem Solver","Area denial frame.
Bad for general combat, good for point control.
Neutral damage buffs allow for higher damage.
Chain Reaction for extra AoE.","","B","Vanguard / Pinnacle Ops / Zavala Vendor","No"
"","New Pacific Epitaph","Special GL","Kinetic","Stasis","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Chain Reaction
Demolitionist
Unrelenting","Kill Clip
Sword Logic","Restoration Ritual","Wave frame.
Good for swap-clean ups/multiple targets.
Chain Reaction for extra AoE.
Column 2 perks are only on-kill perks, hurting its use.","","C","Ghosts of the Deep Dungeon","No"
"","Forbearance (Onslaught Variant)","Special GL","Energy","Arc","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Ambitious Assassin
Demolitionist
Overflow","Frenzy
Chain Reaction
Desperate Measures","Indomitability","Wave frame.
Good for swap-clean ups/multiple targets.
Chain Reaction for extra AoE.","","C","Onslaught","No"
"","Forbearance (Vow of the Disciple Variant)","Special GL","Energy","Arc","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Ambitious Assassin
Demolitionist
Genesis","Gear Shift
Frenzy
Chain Reaction
Golden Tricorn","Souldrinker","Wave frame.
Good for swap-clean ups/multiple targets.
Neutral damage buffs allow for higher damage.
Chain Reaction for AoE.
Origin has high uptime on this weapon type.","","B","Vow of the Disciple Raid","Yes"
"","Liturgy","Special GL","Kinetic","Stasis","Double Fire","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Slideways
Quickdraw
Perpetual Motion","Chill Clip
Chain Reaction
Swashbuckler
Desperate Measures
Harmony","Dark Ether Reaper","Double fire. 
Bad frame due to split damage instances/shot spread.
Chill Clip slows targets, allowing for easy clean-ups.
Chain Reaction for AoE.
Origin is either non-functional in PvP or very rare to appear.","","C","World Drops / Gunsmith Vendor","No"
"","Wild Style","Special GL","Energy","Solar","Double Fire","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Reconstruction
Envious Assassin","Surrounded
Incandescent
Vorpal Weapon","Vanguard Determination
Tex Balanced Stock
Problem Solver","Double fire. 
Bad frame due to split damage instances/shot spread.","","C","Vanguard / Zavala Vendor","No"
"","The Mountaintop (Onslaught Variant)","Special GL","Kinetic","Kinetic","Micro-Missile","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Implosion","Velocity
Handling
Blast Radius","Impulse Amplifier
Demolitionist
Overflow
Auto-Loading Holster","Elemental Honing
All Star
Recombination
Frenzy
Vorpal Weapon","Indomitability","Micro-Missile frame.
Functionally lightweight frame, but with a straight line trajectory shot instead of arcing grenades.
Good for direct shots.
Best-in-Class.
Impulse Amplifier on Missile frame, neutral damage perks, and useful Origin.","","S","Onslaught","No"
"","The Mountaintop (Crucible Original Variant)","Special GL","Kinetic","Kinetic","Micro-Missile","Hard Launch
Volatile Launch","Spike
Sticky","Velocity","Rangefinder","Rampage","None","Micro-Missile frame.
Functionally lightweight frame, but with a straight line trajectory shot instead of arcing grenades.
Good for direct shots.
Inferior version of the Onslaught variant.
Rangefinder provides a smaller missile velocity increase than Impulse Amplifier and requires ADS to activate.","","A","Monument of Lost Lights / Collections","No"
"","Permafrost","Special GL","Kinetic","Stasis","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Demolitionist
Overflow
Blast Distributor","Desperate Measures
Adrenaline Junkie","Field-Tested
Dawning Surprise","Wave frame.
Good for swap-clean ups/multiple targets.","","C","Tenet of Bravery","No"
"","Romantic Death","Special GL","Energy","Void","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Reverberation
Blast Distributor
Threat Detector
Repulsor Brace","Impulse Amplifier
Aggregate Charge
Surrounded
Chain Reaction
Destabilizing Rounds","Tenacity","Wave frame.
Good for swap-clean ups/multiple targets.
Impulse Amplifier Wave frame.
Neutral damage perks allow for easier kills.","","B","Tenet of Bravery","No"
"","Gizmo Weft","Special GL","Kinetic","Strand","Micro-Missile","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Implosion","Velocity
Handling
Blast Radius","Slice
Slideshot
Reverberation
Blast Distributor","Elemental Honing
Aggregate Charge
Chain Reaction","Contending Cascade
Hakke Breach Armaments","Micro-Missile frame.
Functionally lightweight frame, but with a straight line trajectory shot instead of arcing grenades.
Good for direct shots.
Lacks Impulse Amplifier, but has Slice + Aggregate Charge combo for easy neutral damage buff.
Contending Cascade Origin is hard to stack on this weapon type.","","A","Tenet of Bravery","No"
"","Motif-41","Special GL","Energy","Solar","Area Denial","Quick Launch
Smart Drift
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Velocity
Handling
Reload Speed","Impulse Amplifier
Threat Detector
Auto-loading Holster","Master of Arms
Binary Orbit
Demolitionist
Vorpal Weapon
Incandescent","Suros Synergy","Area denial frame.
Bad for general combat, good for point control.
Impulse Amplifier Area Denial frame.
Primary-swap damage perks.","","C","Tenet of Bravery","No"
"","Festival Flight","Special GL","Kinetic","Strand","Area Denial","Quick Launch
Smart Drift
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Velocity
Handling
Reload Speed","Slice
Blast Distributor
Demolitionist
Ambitious Assassin","Elemental Honing
Binary Orbit
Frenzy
Vorpal Weapon","Suros Synergy
Dream Work","Area denial frame.
Bad for general combat, good for point control.
Slice. Vorpal vs. Supers.
Neutral damage perks allow for higher damage output.","","B","Tenet of Bravery","No"
"","Martyr's Retribution","Special GL","Energy","Solar","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Heal Clip
Demolitionist
Envious Assasin
Threat Detector
Auto-loading Holster","Kill Clip
Desperate Measures
Adrenaline Junkie
Vorpal Weapon
Incandescent","Cast No Shadows","Wave frame.
Good for swap-clean ups/multiple targets.
Vorpal vs. Supers","","C","Xur","No"
"","Undercurrent","Special GL","Energy","Arc","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Demolitionist
Ambitious Assasin","Adrenaline Junkie
High Ground","Vanguard's Vindication
Stunning Recovery","Wave frame.
Good for swap-clean ups/multiple targets.
Weak perks overall.","","C","Tenet of Bravery / Zavala Vendor","No"
"","Theodolite","Special GL","Energy","Arc","Micro-Missile","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Implosion","Velocity
Handling
Blast Radius","Reverberation
Blast Distributor
Reconstruction","Elemental Honing
Binary Orbit
Frenzy","Vanguard Determination
Field Tested
Problem Solver","Micro-Missile frame.
Functionally lightweight frame, but with a straight line trajectory shot instead of arcing grenades.
Good for direct shots.
Lacks Impulse Amplifier. Binary Orbit makes primary-swap kills easier.","","B","Xur","No"
"","Ignition Code","Special GL","Kinetic","Kinetic","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Slideshot
Ambitious Assassin","Harmony
Frenzy
Reverberation
High Ground
Vorpal Weapon","Splicer Surge","Lightweight/Movement
Good frame, good perks, good Origin.
All around solid pick.","","A","Xur / Kell's Fall Legacy Loot Classic Collections Modifier: ON","No"
"","Truthteller","Special GL","Energy","Void","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Moving Target
Elemental Capacitor
Enlightened Action","Disruption Break
Harmony
Collective Action
Threat Detector","Field Tested","Lightweight/Movement
Good frame, good perks, good Origin.
Disruption Break for team play/primary clean ups.","","S","Gunsmith Legacy Focusing","No"
"","Harsh Language","Special GL","Energy","Void","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Envious Assassin
Threat Detector
Field Prep","Disruption Break
Golden Tricorn
Adrenaline Junkie","Field-Tested","Wave frame.
Good for swap-clean ups/multiple targets.
Disruption Break for team play/primary clean ups.
Extra ammo gen via Field Prep.","","S","Gunsmith Legacy Focusing","No"
"","Pardon Our Dust","Special GL","Kinetic","Kinetic","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Ambitious Assassin
Pulse Monitor
Perpetual Motion","Demolitionist
Rampage
Adrenaline Junkie
Vorpal Weapon","Hot Swap","Lightweight/Movement
Good frame, mid perks, good Origin.
Vorpal vs. Supers.","","B","Dares of Eternity","Yes"
"","The Militia's Birthright","Special GL","Kinetic","Kinetic","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Slideways
Ambitious Assassin
Thresh","Swashbuckler
Frenzy
Under-over","Vanguard's Vindication
Field-Tested
Stunning Recovery","Lightweight/Movement
Swashbuckler enables easier 1HKOs.
Thresh for super gen. Under-Over vs. overshields.","","B","Xur / Unobtainable(??)","No"
"","Explosive Personality","Special GL","Energy","Solar","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Threat Detector
Genesis","Disruption Break
Frenzy
Golden Tricorn","Land Tank","Wave frame.
Good for swap-clean ups/multiple targets.
Disruption Break for primary-swap kills & team play.","","S","Vox Obscura
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Prodigal Return","Special GL","Energy","Arc","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Envious Assassin
Threat Detector
Field Prep
Thresh","Disruption Break
Harmony
Adrenaline Junkie
Rampage
Demolitionist","Noble Deeds","Lightweight/Movement
Good frame, good perks, good Origin.
Disruption Break for team play/primary clean ups.","","A","//node.ovrd.AVALON//
Legacy Loot
Classic Collections Modifier: ON","Yes"
"","Deafening Whisper","Special GL","Energy","Void","Wave","Volatile Launch
Confined Launch
Linear Comp","High-Velocity
Implosion Rounds
Proximity","Blast Radius
Velocity
Handling","Moving Target
Ambition Assassin
Pulse Monitor","Threat Detector
Rampage
Auto-loading Holster","None","Wave frame.
Good for swap-clean ups/multiple targets.","","C","Xur","No"
"","Orewing's Maul","Special GL","Energy","Void","Lightweight","Quick Launch
Smart Drift
Linear Comp","Spike
High-Velocity
Black Powder","Velocity
Handling
Blast Radius","Quickdraw
Threat Detector
Field Prep","Rangefinder
Moving Target
Demolitionist","None","Lightweight/Movement
Rangefinder increases velocity when fired while ADS.","","B","Unobtainable (Iron Banner Discontinued)","No"
